MOF_Name,CO2_Uptake_mol_per_kg,CO2_Uptake_cm3_per_g
Co-MOF-10_CUK-1Co_300mpa,N/A,N/A
Co-MOF-9_1_a_sq_CCDC2,N/A,N/A
ZIF-69-crystal,N/A,N/A
ZIF-8,N/A,N/A
